INFO 2026-06-02 10:14:28,301 [root:54] ✅ Logging initialized (concurrent rotation)
INFO 2026-06-02 10:14:30,466 fyers_feed FyersFeed: Fyers WS connected ✅
INFO 2026-06-02 10:14:30,467 fyers_feed FyersFeed: onopen — symbols to subscribe: []
WARNING 2026-06-02 10:14:30,468 fyers_feed FyersFeed: No user symbols — subscribing NSE:NIFTY50-INDEX as keepalive
WARNING 2026-06-02 10:14:30,693 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
ERROR 2026-06-02 10:14:30,775 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:31,066 fyers_feed FyersFeed: Heartbeat thread started ✅
INFO 2026-06-02 10:14:31,366 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.90
INFO 2026-06-02 10:14:31,531 fyers_feed FyersFeed: Redis connection pool created
INFO 2026-06-02 10:14:31,772 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.55
INFO 2026-06-02 10:14:32,870 fyers_feed FyersFeed: ✅ Master account token loaded | account=1 | user=c41ff04c-89f7-4831-8543-6a04ebf93426
INFO 2026-06-02 10:14:32,883 fyers_feed FyersFeed: No open trades — subscribed set empty
INFO 2026-06-02 10:14:32,884 fyers_feed FyersFeed: Subscribed set at start: set()
INFO 2026-06-02 10:14:32,898 apps 🚀 Fyers feed auto-started
INFO 2026-06-02 10:14:32,935 delta_feed Delta poll loop started
INFO 2026-06-02 10:14:32,935 delta_feed Delta feed started
INFO 2026-06-02 10:14:32,936 apps 🚀 Delta feed auto-started
INFO 2026-06-02 10:14:32,936 dhan_feed DhanFeed subscribed: NIFTY50-INDEX
INFO 2026-06-02 10:14:32,954 dhan_feed DhanFeed poll loop started
INFO 2026-06-02 10:14:32,962 dhan_feed DhanFeed started
INFO 2026-06-02 10:14:32,975 dhan_feed DhanFeed subscribed: NIFTYBANK-INDEX
INFO 2026-06-02 10:14:32,976 dhan_feed DhanFeed subscribed: SENSEX-INDEX
INFO 2026-06-02 10:14:32,976 dhan_feed DhanFeed subscribed: FINNIFTY-INDEX
INFO 2026-06-02 10:14:32,976 dhan_feed DhanFeed subscribed: MIDCPNIFTY-INDEX
INFO 2026-06-02 10:14:32,977 apps 🚀 Dhan feed auto-started | symbols=5
WARNING 2026-06-02 10:14:33,049 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
ERROR 2026-06-02 10:14:33,164 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:33,325 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.40
WARNING 2026-06-02 10:14:33,844 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
INFO 2026-06-02 10:14:33,995 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.10
ERROR 2026-06-02 10:14:34,003 dhan_feed DhanFeed: HTTP error: 429 Client Error: Too Many Requests for url: https://api.dhan.co/v2/marketfeed/ohlc
INFO 2026-06-02 10:14:34,020 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.35
INFO 2026-06-02 10:14:34,036 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23289.35
